Phone_Model,Service,Manufacturer,Storage_Type,Chip_Name,File_System,FS_Parameter,FTL,FTL_Parameter,Java_Type,Java_Path,Java_Tool,Media_Type
CA-01C,FOMA,Casio/NEC,,,YAFFS2 (unsupported),,-,,fs_path,,keitai-tools,fs_extension
F2051,FOMA,Fujitsu,,,,,,,fs_path,Sanremo\Java,keitai-tools,fs_extension
F2102V,FOMA,Fujitsu,,,,,,,fs_path,Sanremo\Java,keitai-tools,fs_extension
F900i,FOMA,Fujitsu,NAND,MB84VQ6M6M7C2-n,FAT,,F900i FTL,-,fs_path,Sanremo\Java,keitai-tools,fs_extension
F900iT,FOMA,Fujitsu,NAND,MB84VQ6M6M7C2-n,FAT,,F900i FTL,-,fs_path,Sanremo\Java,keitai-tools,fs_extension
F880iES,FOMA,Fujitsu,,,,,,,fs_path,Sanremo\Java,keitai-tools,fs_extension
F900iC,FOMA,Fujitsu,,,,,,,fs_path,Sanremo\Java,keitai-tools,fs_extension
F700i,FOMA,Fujitsu,,,,,,,fs_path,Sanremo\Java,keitai-tools,fs_extension
F700iS,FOMA,Fujitsu,,,,,,,fs_path,Sanremo\Java,keitai-tools,fs_extension
F901iC,FOMA,Fujitsu,SuperAND,M6MLE277B4ZAWG-a,FAT,,-,-,fs_path,Sanremo\Java,keitai-tools,fs_extension
F881iES,FOMA,Fujitsu,,,,,,,fs_path,Sanremo\Java,keitai-tools,fs_extension
F901iS,FOMA,Fujitsu,,,,,,,fs_path,Sanremo\Java,keitai-tools,fs_extension
F902i,FOMA,Fujitsu,,,,,,,fs_path,WcdmaMp\Java\Data,keitai-tools,fs_extension
F902iS,FOMA,Fujitsu,,,,,,,fs_path,WcdmaMp\Java\Data,keitai-tools,fs_extension
F702iD,FOMA,Fujitsu,,,,,,,fs_path,WcdmaMp\Java\Data,keitai-tools,fs_extension
F882iES,FOMA,Fujitsu,,,,,,,fs_path,WcdmaMp\Java\Data,keitai-tools,fs_extension
